Agencia;Numero da Conta;Nome do Cliente;CPF;CEP;Tipo de Conta;Atividade;Saldo;Limite;Data de vencimento
6;40;Adinilson;01354020260;33400000;Conta corrente;Criacao de conta;0.00;1000.00;20/03/2090
;;;;;Conta corrente;Deposito: 1000;1000.00;1000.00;"20/03/2090"
;;;;;Conta corrente;Saque: 500;500.00;1000.00;"20/03/2090"
;;;;;Conta corrente;Saque: 1500;-1000.00;0.00;"20/03/2090"
;;;;;Conta corrente;Deposito: 1500;500.00;0.00;"20/03/2090"
;;;;;Conta corrente;Deposito: 400;900.00;0.00;"20/03/2090"
;;;;;Conta poupanca;Alteracao de dados;900.00;;
;;;;;Conta corrente;Alteracao de dados;900.00;500.00;"31/02/2100"


Agencia;Numero da Conta;Nome do Cliente;CPF;CEP;Tipo de Conta;Atividade;Saldo;Limite;Data de vencimento
7;43;Amin;01354020260;33400000;Conta corrente;Criacao de conta;0.00;700.00;18/07/2090
;;;;;Conta poupanca;Alteracao de dados;0.00;;
;;;;;Conta poupanca;Deposito: 5000;5000.00;;
;;;;;Conta poupanca;Conta encerrada;5000.00;;


Agencia;Numero da Conta;Nome do Cliente;CPF;CEP;Tipo de Conta;Atividade;Saldo;Limite;Data de vencimento
6;44;Amin;01354020260;33400000;Conta poupanca;Criacao de conta;0.00;
;;;;;Conta corrente;Alteracao de dados;0.00;0.00;"10/09/2040"
;;;;;Conta poupanca;Alteracao de dados;0.00;;


Agencia;Numero da Conta;Nome do Cliente;CPF;CEP;Tipo de Conta;Atividade;Saldo;Limite;Data de vencimento
5;45;Daniel;01465080820;33825000;Conta poupanca;Criacao de conta;0.00;
;;;;;Conta corrente;Alteracao de dados;0.00;0.00;"18/09/2080"


